,full_name,profile_pic_url,frequency,fans
00.loveeat,ꪔ̤̮ 00愛食記｜台北☼信義☀︎板橋☼新莊美食｜ꪔ̤̥,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/326749929_720275249598798_3820524829703458724_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=7vIXwB82yKEAX82R9gl&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDS0YnCbo6NVchofUpmGrjofG8ivzUMvAfNiUW5Dqw1Bg&oe=646605F5&_nc_sid=bcb968,6,8487
0101.tw,糖仔呷脂肪｜全台美食 · 宅配 · 味旅 · 漫城 · 抽獎,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/121394907_164732241943397_7614904546291856960_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=S_uhVFA4TaQAX8ZXsBc&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfC7GiPeNYa2TH7JQGfG8IZ8MUmRbA43wmbdsCDsPhi2dg&oe=64661106&_nc_sid=bcb968,6,2859
0218_kellyhung_,Hope Kelly🐿🏁🖤,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/313193493_675310187255953_4429002069319933499_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=101&_nc_ohc=9HOTQM_Cg1kAX-slS35&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCTrpIqNkxkBe91PQbz6JTMSSTlkXSR6XTf8FaiMUmeSQ&oe=64665115&_nc_sid=bcb968,2,5808
0330.mm,挑食小姐ฅ՞•ﻌ•՞ฅ 新竹 ◍ 台北 ◍ 台中┇台灣美食 ◍ 旅遊住宿 ◍ 宅配美食,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/247549676_137076138660882_5514766730000771882_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Y0EYaXH-rZsAX9o04iw&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfAJhu4mgN4HTq35S1sZMbo1WGDPnsmMZQgvLKX0JW3big&oe=6466C48E&_nc_sid=bcb968,2,24144
1000cc_ig,1000CC ·͜· 台北 桃園 新竹 台中 台南 美食分享ฅ゛,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/277115103_741789200137196_4222706970491406439_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=24qJ9MBoULcAX9Q1CKU&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDtGb46ulSiXw-N5V2jGCBzwmGcoY0n3YomT6kyDTfZCQ&oe=6466F787&_nc_sid=bcb968,5,130891
1105yuri,𝓨𝓾𝓻𝓲︎,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/11426187_1698029873760564_267437679_a.jpg?_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=vO-g03xUm4cAX9rzveq&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfBOBy2mvhWO2spJTTEs3cw5srMgE-HTJRan3BZZXdZlMQ&oe=6467D559&_nc_sid=bcb968,2,1096
11_yumyum,𝟭𝟭食旅日常｜雙北 ⋄ 土城 ⋄ 板橋 ⋄ 中和 ⋄全台☁*,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/327324110_238034831976659_6577732181219053018_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=8SKKej05fZIAX9cbBTT&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfD9r52B3hSrgTgHsLnR3o2ybjClcHnoNAAfH9QFJiCoQg&oe=64660ED5&_nc_sid=bcb968,3,4086
1544_cassie,遇見希希探店趣🍭高雄 台南 台中 台北美食(´ސު｀)♡,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/342720428_929395904970108_4543555036221252853_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=dMcH-gqdCQwAX-4iWkV&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfAweB8GmgV1unmsnFLBdEvC3-9lmqrKcL3RTpxh5epz6g&oe=6466FC2B&_nc_sid=bcb968,2,50371
17.notsweet,不甜 Notsweet,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/346006861_634569475238540_2374917448910421514_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=NdWs2jOhjg0AX8vuXrZ&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfB18GBecL9WWkxqS5EGp6Punc-dR8Vgf6V42HYdpCQCBw&oe=64675BA7&_nc_sid=bcb968,2,4327
19970116_,♡天天♡｜美得森生醫行銷總監｜,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/345825149_634914308065150_7318036692850191485_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=OQUe1aCX_WkAX-2-sNJ&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfD4qhXhMLnpIpjehOtYz7pVxTnkI8kOr-ifsMXMMjJbVQ&oe=6467BC1A&_nc_sid=bcb968,2,8083
1eat2drink3shoot,小葉 ☺︎ 台北｜花蓮 美食博主,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/19228372_208507856338371_2668980346606845952_a.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=RVD6wbnIBoQAX8jLTZs&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfAPO5hei7pY4ugf2V-5-WXUqDFwz_kAyktj43T3ByKXyA&oe=64663FAC&_nc_sid=bcb968,2,4139
1ggfood,蛋談美食,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/97329899_244849046930235_2951712786662555648_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=bfOHd45gAg8AX96vyeY&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCAesHxXJVny8UBoBuR2-dnrLqca1rca_bGNktfyjPcoQ&oe=64665269&_nc_sid=bcb968,5,6305
2a_foodie,2A夫妻🐰Amber&Andy🐮台中美食/台北美食/新竹美食,https://instagram.frmq2-2.fna.fbcdn.net/v/t51.2885-19/30591371_234783110596860_491347054686109696_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.frmq2-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=BPKtHnGum-gAX-4kdR8&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCTwhTuFK90Xc48_IQXHqxXTNGNRiQyhxn487BuycsZ1g&oe=646657A2&_nc_sid=bcb968,2,87289
2happyfoodiee,JZ.Foodie| Jo想吃🍯客製甜點｜吃喝玩樂📝,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/122575821_2423394337968842_5729767673265622219_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=3HJXSATlauAAX9l9w0A&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCmBBG4X80M7py3b_tl6R1kJuQpCUNBeIuhm58x2HjFsQ&oe=646616DD&_nc_sid=bcb968,2,2725
33_ieat,33🍵,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/25025323_2089832037917934_3206563282580144128_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=Fy4ADbHVfmwAX8t7YnF&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCtUK8EXvaukD1pYY4rAiKrkCJknMu4cMdQJqJcu_yvnA&oe=646702C7&_nc_sid=bcb968,3,14944
3highhuuhu,三高夫婦老實說｜淡水 台北 台中 台南,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/73016135_752868261851163_3933776339001147392_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=MNgL-lkOoREAX9Wd-6-&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfC-b2FQirYeNmyVRK_CJ7vCOTXvKU0pQaahwOV3P60V8A&oe=64664A4F&_nc_sid=bcb968,2,3207
3ljacob,理智派的生活手札｜生活中的食衣住行,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/312065876_622664929514388_3065430759431837748_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=j-98nK-XdEMAX-2dSXu&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDe-iqKyhwleqAZRhPMFRgXwphi_EreQkHkR9rp7mu2cA&oe=646686A4&_nc_sid=bcb968,2,6862
3tsai1soup,🥡3蔡1湯🥢,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/299299130_2306516379495783_5540717217592910107_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=TyMiLgAhf5kAX-STXwJ&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfCmmAVGKkTGIr01OGzR1OwuCjiD1oYH6F1Zl3zHAKkLEA&oe=64674874&_nc_sid=bcb968,2,3581
3tzzzu7,姿 佑 ¨̮,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/261256435_115703844260992_2187420297051813829_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=qlNfTpGgcNAAX8zcGXv&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDmJ6rxMBMe2Dri7YaWTprmivJeE896FMLada8wbhNI5Q&oe=646759DF&_nc_sid=bcb968,2,75878
46sweetno1,👧🏻小夏媽咪なつみ👶🏻,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/347093646_1209806146385085_6224333804904450900_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0qkZdxT3yMUAX8VsKdv&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDXUbN_I2Op3cs_Z4uTYuU786LRjLF3Oeb8y-9ieU5HAA&oe=6466E926&_nc_sid=bcb968,2,22775
47_food.life,47食樂天地 台北 台中 國外 美食旅遊,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/121217244_785071285679558_1624735286342205526_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=a0KIgWrZAXAAX-gByzM&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfBwfim2DQ-mUtLg1gtT8oUHw9pBbeNtwKIO8XdnkPgFsw&oe=6466BB56&_nc_sid=bcb968,6,222646
47foodie.tw,來點美食47foodie｜台南 台中 新竹 台北｜餐廳 宅配 甜點,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/240926418_138439038476038_6945217667224666945_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=110&_nc_ohc=E_-QxS9rDEkAX8q4ctG&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDGWzC4jXAnTZ4EDxC89AJCX1d0b7mg4hMlQT9xWW1Uag&oe=6467984E&_nc_sid=bcb968,2,3606
4__chi,裘斯淇,https://instagram.frmq2-2.fna.fbcdn.net/v/t51.2885-19/310091502_181225144439959_7211569370863306407_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.frmq2-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=2MQ06fg2aUEAX9TKAA7&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfBgeYPmogNzNh6jYQ2ofwSpsK3YCOSaI5Meo5xI3Jrycw&oe=646600AD&_nc_sid=bcb968,2,65931
4foodie,4foodie 台北 新北 台中 台南 高雄 台灣 其他旅遊美食 4ORFOODIE,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/274893235_317212620440461_1484123143136805630_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=UYlN_hBGjxYAX_CwQ_T&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfBDfm2LHrFFJtVA5Wz0r9s1TD6lyaNoJ_H_mlnrHFEc0A&oe=646776E2&_nc_sid=bcb968,12,499434
4mefoodielife,𝐈𝐌 𝐂𝐇𝐈𝐀｜台北美食 x 新北美食 x 台中美食 x 住宿旅遊,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/334411807_608846757299851_8298701797450963274_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=S6TDi3RZvcIAX86lGVr&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfDuYS0QAjucUXxRS2NbiwgkpE_vT562OiujsbY9iEvs1g&oe=6466ABC4&_nc_sid=bcb968,8,7507
52_foodie,52🍕 \  我 餓 𝘍𝘖𝘖𝘋𝘐𝘌 ／ 台北 美食 超商 餐廳,https://instagram.ftpe2-1.fna.fbcdn.net/v/t51.2885-19/327613865_664741545404959_7877928497960368473_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=HuxgysotnugAX9ijAdd&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfAzOXAe5WDxsQ20ghvW10xMo6C2sdpwl12fuCe-5iM54g&oe=64677D9C&_nc_sid=bcb968,2,71259
602avenue,有璟 요찡 🇰🇷,https://instagram.ftpe2-2.fna.fbcdn.net/v/t51.2885-19/320705984_1278682939365789_8817151975453384040_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.ftpe2-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZKuNihzt4KIAX-k4mUm&edm=AKmAybEBAAAA&ccb=7-5&oh=00_AfB_4SEK0ioNM9n1t41dOvOfegZLKbyd38MVnzzSbXiZ0Q&oe=64672EF4&_nc_sid=bcb968,3,109531
